Sample,Postcode,Address,Latitude,Longitude,moll_lat,moll_lon,Rurality
1403,,,38,-78.7,4564645.650180879,-6803002.058809699,11
1404,,,38.9,-77.4,4666079.097486394,-6638674.67949466,30
1405,,,42.2,-85.6,5033791.304144005,-7118874.99886051,30
1406,,,36,-78.9,4337579.950562795,-6933245.317978021,30
1407,,,43.6,-96.7,5187682.367855,-7928294.528657082,11
1408,,,37,-92,4451393.266128351,-8019485.53626973,11
1409,,,32.9,-96.7,3981375.261976042,-8696359.403165577,30
1410,,,26.9,-80.1,3278913.9193157507,-7478647.635645324,30
1411,,,35,-80.8,4223222.5789299365,-7155556.653161242,21
1412,,,35.9,-78.7,4326168.419072049,-6921134.145376457,21
1413,,,42.3,-83.1,5044826.500767855,-6904100.437393387,30
1414,,,38.5,-121.7,4621056.167222766,-10474888.272187825,11
1415,,,37.1,-80.6,4462744.02651625,-7019989.1195119005,11
1416,,,42.6,-78.9,5077892.78467351,-6535505.493222111,11
1417,,,27.4,-80.3,3338045.7056925423,-7476519.52322433,11
1418,,,46.5,-90.1,5502171.955276261,-7155484.43566594,11
1419,,,35,-92.5,4223222.5789299365,-8191695.425958105,11
1421,,,28.6,-81.5,3479544.8997717835,-7535943.368757798,21
1422,,,41.8,-95.9,4989585.492155518,-8006946.319439531,11
1423,,,33,-117.2,3992942.2826557155,-10532528.792927051,12
1424,,,36,-94.2,4337579.950562795,-8277714.942376799,12
1425,,,34.2,-118,4131356.186610764,-10512884.213088162,11
1426,,,28,-82.8,3408869.9392443006,-7683011.873797834,30
1427,,,46.5,-87.3,5502171.955276261,-6933116.439884978,10
1428,,,40.7,-89.6,4867490.986514479,-7560246.1802627,30
1429,,,32.7,-117.2,3958226.452234754,-10554726.528631622,30
1430,,,29,-81.3,3526576.937085032,-7499544.836273804,21
1431,,,38.1,-91.8,4575939.381994569,-7928624.877542428,11
1432,,,33.8,-87.3,4085299.0747620966,-7800609.16899411,11
1433,,,40.7,-74,4867490.986514479,-6243953.318520533,30
1434,,,32.4,-104.3,3923466.5605251505,-9412551.868225215,11
1435,,,33.7,-117.8,4073772.0673866183,-10533558.857104303,30
1436,,,32.8,-79.9,3969803.3130784915,-7190557.45858924,21
1437,,,35.9,-78.7,4326168.419072049,-6921134.145376457,21
1438,,,40.1,-88.2,4800573.6500055995,-7483745.845646986,30
1439,,,39.9,-75.4,4778218.522360791,-6409404.690514023,21
1440,,,32.8,-117.2,3969803.3130784915,-10547350.865415005,30
1441,,,40.7,-74.5,4867490.986514479,-6286142.192294321,11
1442,,,33.9,-84.1,4096821.006802832,-7509196.998604451,30
1443,,,39.5,-79.9,4733435.0894455165,-6816598.937081497,11
1444,,,35.9,-78.8,4326168.419072049,-6929928.470847074,30
1445,,,37.1,-80.4,4462744.02651625,-7002569.7916719215,11
1446,,,34.9,-80.7,4211757.562966753,-7152138.525688693,12
1447,,,37.7,-122.4,4530729.844432588,-10607455.13673108,30
1448,,,43.7,-97,5198624.35397517,-7944587.095730428,11
1449,,,38.2,-85.6,4587227.316813161,-7386809.7394746635,30
